,comicID,x1,x2,gmmCluster,url
1837,1838,-42.223984,9.121877,7,https://xkcd.com/1838/
660,661,27.289753,-41.44695,7,https://xkcd.com/661/
674,675,30.868141,-27.813683,7,https://xkcd.com/675/
1768,1769,19.456861,-38.82427,7,https://xkcd.com/1769/
1155,1156,-36.167374,4.44748,7,https://xkcd.com/1156/
1451,1452,12.894055,-44.073933,7,https://xkcd.com/1452/
1730,1731,11.493522,-43.52892,7,https://xkcd.com/1731/
1474,1475,25.862644,-32.098152,7,https://xkcd.com/1475/
1716,1717,22.366266,-43.842827,7,https://xkcd.com/1717/
1489,1490,48.600082,-39.324005,7,https://xkcd.com/1490/
1203,1204,-50.76514,30.19843,7,https://xkcd.com/1204/
85,86,29.109098,-44.2483,7,https://xkcd.com/86/
1190,1191,16.315182,-42.08345,7,https://xkcd.com/1191/
865,866,27.897787,-25.996342,7,https://xkcd.com/866/
893,894,31.059465,-21.459522,7,https://xkcd.com/894/
928,929,17.775356,-30.237,7,https://xkcd.com/929/
66,67,19.645746,-52.131977,7,https://xkcd.com/67/
1238,1239,32.409847,-12.758323,7,https://xkcd.com/1239/
1563,1564,14.155971,-28.703,7,https://xkcd.com/1564/
1471,1472,-59.5667,-3.2051494,7,https://xkcd.com/1472/
206,207,-47.29258,1.7762481,7,https://xkcd.com/207/
1796,1797,-43.256786,-4.811982,7,https://xkcd.com/1797/
413,414,-54.949574,-10.850881,7,https://xkcd.com/414/
1803,1804,34.42612,-32.920128,7,https://xkcd.com/1804/
1654,1655,-48.0707,-3.0801604,7,https://xkcd.com/1655/
1662,1663,-41.850544,13.557948,7,https://xkcd.com/1663/
1331,1332,24.130596,-47.049187,7,https://xkcd.com/1332/
195,196,45.50957,-34.469284,7,https://xkcd.com/196/
1675,1676,-50.873417,15.103806,7,https://xkcd.com/1676/
238,239,15.94469,-35.861443,7,https://xkcd.com/239/
519,520,-48.270218,-13.068107,7,https://xkcd.com/520/
1555,1556,-59.277554,-8.920928,7,https://xkcd.com/1556/
661,662,18.998,-16.76584,7,https://xkcd.com/662/
257,258,29.651617,-26.807121,7,https://xkcd.com/258/
191,192,35.931984,-48.153942,7,https://xkcd.com/192/
159,160,37.344486,-48.774406,7,https://xkcd.com/160/
1276,1277,22.85981,-30.020136,7,https://xkcd.com/1277/
145,146,20.819696,-41.180035,7,https://xkcd.com/146/
1866,1867,36.943798,-39.48653,7,https://xkcd.com/1867/
1261,1262,33.283463,-38.46163,7,https://xkcd.com/1262/
817,818,39.86855,-36.126175,7,https://xkcd.com/818/
1255,1256,31.584923,-42.768204,7,https://xkcd.com/1256/
1619,1620,-47.51788,0.41607046,7,https://xkcd.com/1620/
973,974,16.373144,-5.157818,7,https://xkcd.com/974/
175,176,38.174744,-50.2288,7,https://xkcd.com/176/
1792,1793,-56.18792,11.943251,7,https://xkcd.com/1793/
1794,1795,-54.072617,11.727692,7,https://xkcd.com/1795/
230,231,-45.14686,10.607532,7,https://xkcd.com/231/
641,642,60.715893,-16.867126,7,https://xkcd.com/642/
1524,1525,-47.827263,6.845928,7,https://xkcd.com/1525/
28,29,23.161146,-32.85378,7,https://xkcd.com/29/
1004,1005,-19.394236,19.212914,7,https://xkcd.com/1005/
1249,1250,-9.637594,19.835575,7,https://xkcd.com/1250/
1408,1409,-18.299097,12.868634,7,https://xkcd.com/1409/
856,857,-13.990779,6.059018,7,https://xkcd.com/857/
838,839,-28.335123,1.974585,7,https://xkcd.com/839/
1896,1897,-53.332607,11.865588,7,https://xkcd.com/1897/
1310,1311,-29.648756,7.905366,7,https://xkcd.com/1311/
760,761,-12.042996,-3.7833557,7,https://xkcd.com/761/
1216,1217,-25.510683,13.2136545,7,https://xkcd.com/1217/
1210,1211,-22.675594,1.3860841,7,https://xkcd.com/1211/
1207,1208,-22.852734,28.12867,7,https://xkcd.com/1208/
4,5,-44.11562,4.45215,7,https://xkcd.com/5/
1257,1258,2.7319477,-13.799541,7,https://xkcd.com/1258/
744,745,-8.328467,8.330434,7,https://xkcd.com/745/
1336,1337,-1.0259135,6.241573,7,https://xkcd.com/1337/
1981,1982,-54.121426,-17.512617,7,https://xkcd.com/1982/
812,813,-14.111541,2.8720727,7,https://xkcd.com/813/
1239,1240,-14.224639,10.995727,7,https://xkcd.com/1240/
836,837,-17.281427,20.815563,7,https://xkcd.com/837/
1485,1486,5.6151733,-16.216654,7,https://xkcd.com/1486/
678,679,54.559425,-23.206768,7,https://xkcd.com/679/
119,120,-6.354242,-33.61274,7,https://xkcd.com/120/
1418,1419,-0.64114106,4.2956924,7,https://xkcd.com/1419/
732,733,-3.3753839,9.804467,7,https://xkcd.com/733/
638,639,-28.203173,8.426347,7,https://xkcd.com/639/
1596,1597,-5.982199,13.024833,7,https://xkcd.com/1597/
907,908,14.190486,-37.34881,7,https://xkcd.com/908/
547,548,1.8558618,16.87284,7,https://xkcd.com/548/
550,551,-1.6493528,5.8152595,7,https://xkcd.com/551/
1003,1004,9.502309,2.68825,7,https://xkcd.com/1004/
59,60,30.889612,-39.676914,7,https://xkcd.com/60/
117,118,32.892162,-20.117418,7,https://xkcd.com/118/
1005,1006,45.436516,-46.211815,7,https://xkcd.com/1006/
1683,1684,2.9980476,-9.750498,7,https://xkcd.com/1684/
841,842,42.927647,-44.18469,7,https://xkcd.com/842/
31,32,-8.392531,-39.631256,7,https://xkcd.com/32/
828,829,-3.9121974,-22.96589,7,https://xkcd.com/829/
1637,1638,-24.481068,26.267014,7,https://xkcd.com/1638/
568,569,-28.180315,6.136629,7,https://xkcd.com/569/
1634,1635,-22.14065,5.987028,7,https://xkcd.com/1635/
564,565,-11.017355,20.854166,7,https://xkcd.com/565/
593,594,0.06634215,7.2890835,7,https://xkcd.com/594/
1622,1623,-24.582418,22.18348,7,https://xkcd.com/1623/
1486,1487,-16.268778,-1.3222854,7,https://xkcd.com/1487/
559,560,-23.01925,20.304585,7,https://xkcd.com/560/
607,608,-16.273394,14.580202,7,https://xkcd.com/608/
1476,1477,-3.585547,-0.966396,7,https://xkcd.com/1477/
1030,1031,-21.482582,21.832024,7,https://xkcd.com/1031/
178,179,10.0725155,-5.073575,7,https://xkcd.com/179/
1979,1980,-14.765387,-35.227184,7,https://xkcd.com/1980/
977,978,-17.232763,31.102766,7,https://xkcd.com/978/
483,484,-4.200646,14.729273,7,https://xkcd.com/484/
1019,1020,1.12882,12.708429,7,https://xkcd.com/1020/
452,453,-32.357994,13.468469,7,https://xkcd.com/453/
44,45,-43.89284,-1.1095973,7,https://xkcd.com/45/
657,658,-32.78209,-12.032823,7,https://xkcd.com/658/
0,1,-54.095005,-23.917246,7,https://xkcd.com/1/
2012,2013,-30.317457,-19.453588,7,https://xkcd.com/2013/
1949,1950,-27.738403,41.917877,7,https://xkcd.com/1950/
43,44,47.01954,6.465057,7,https://xkcd.com/44/
1661,1662,27.080671,-0.8201317,7,https://xkcd.com/1662/
1093,1094,12.044914,16.7421,7,https://xkcd.com/1094/
1114,1115,28.51094,-1.7074463,7,https://xkcd.com/1115/
229,230,25.02267,2.5337358,7,https://xkcd.com/230/
1898,1899,-44.94812,-18.422863,7,https://xkcd.com/1899/
382,383,14.989126,13.657514,7,https://xkcd.com/383/
161,162,-43.800694,-20.413511,7,https://xkcd.com/162/
796,797,-14.070697,-28.170979,7,https://xkcd.com/797/
65,66,6.4702563,12.060804,7,https://xkcd.com/66/
1360,1361,17.66555,56.500813,7,https://xkcd.com/1361/
1653,1654,-14.94537,48.0942,7,https://xkcd.com/1654/
1388,1389,-40.794743,28.001425,7,https://xkcd.com/1389/
1300,1301,-29.113108,48.94244,7,https://xkcd.com/1301/
1927,1928,29.032402,30.209396,7,https://xkcd.com/1928/
80,81,-43.051434,-30.593542,7,https://xkcd.com/81/
258,259,52.144558,5.543843,7,https://xkcd.com/259/
1948,1949,-39.132893,-6.5447445,7,https://xkcd.com/1949/
1133,1134,-18.42098,-35.602192,7,https://xkcd.com/1134/
1700,1701,-35.61253,38.17199,7,https://xkcd.com/1701/
1592,1593,0.49626696,-47.811954,7,https://xkcd.com/1593/
635,636,39.232044,4.0948877,7,https://xkcd.com/636/
1165,1166,3.2052948,36.227627,7,https://xkcd.com/1166/
485,486,31.921764,1.765563,7,https://xkcd.com/486/
386,387,29.25794,2.270977,7,https://xkcd.com/387/
918,919,24.016462,11.861445,7,https://xkcd.com/919/
56,57,39.279823,-19.425724,7,https://xkcd.com/57/
1802,1803,35.47038,38.617912,7,https://xkcd.com/1803/
429,430,-46.78646,-21.294006,7,https://xkcd.com/430/
1760,1761,25.39287,2.0796213,7,https://xkcd.com/1761/
892,893,-38.637157,49.179256,7,https://xkcd.com/893/
1881,1882,-34.773205,32.799988,7,https://xkcd.com/1882/
1515,1516,-30.801636,-22.171005,7,https://xkcd.com/1516/
1624,1625,-1.7083689,67.29966,7,https://xkcd.com/1625/
431,432,-34.07836,-35.64014,7,https://xkcd.com/432/
1078,1079,4.6660576,60.786087,7,https://xkcd.com/1079/
1391,1392,-7.6762505,45.171215,7,https://xkcd.com/1392/
1930,1931,37.59359,10.044184,7,https://xkcd.com/1931/
736,737,16.255056,-5.914685,7,https://xkcd.com/737/
793,794,0.71511227,-39.936447,7,https://xkcd.com/794/
334,335,-16.7053,-18.055742,7,https://xkcd.com/335/
521,522,10.037453,56.079815,7,https://xkcd.com/522/
1605,1606,-33.326393,43.974384,7,https://xkcd.com/1606/
1273,1274,14.4639845,55.5862,7,https://xkcd.com/1274/
552,553,21.335047,4.692791,7,https://xkcd.com/553/
1772,1773,7.767852,-17.45266,7,https://xkcd.com/1773/
823,824,22.50143,4.9100223,7,https://xkcd.com/824/
1285,1286,-1.8736745,65.15046,7,https://xkcd.com/1286/
1788,1789,17.737164,35.684242,7,https://xkcd.com/1789/
1174,1175,-35.519653,39.473248,7,https://xkcd.com/1175/
1546,1547,8.4911995,52.34228,7,https://xkcd.com/1547/
288,289,12.063785,-22.29412,7,https://xkcd.com/289/
1384,1385,-1.2981213,-49.706856,7,https://xkcd.com/1385/
1773,1774,-36.595978,-6.577946,7,https://xkcd.com/1774/
183,184,-29.867569,44.37587,7,https://xkcd.com/184/
1015,1016,41.258717,3.4973202,7,https://xkcd.com/1016/
1368,1369,39.1332,12.515914,7,https://xkcd.com/1369/
27,28,14.238423,3.3670485,7,https://xkcd.com/28/
1272,1273,-30.863148,44.75152,7,https://xkcd.com/1273/
6,7,-23.739567,-36.650818,7,https://xkcd.com/7/
1924,1925,-25.653187,-32.491352,7,https://xkcd.com/1925/
1513,1514,36.07248,-0.14193952,7,https://xkcd.com/1514/
1929,1930,2.3860464,47.14234,7,https://xkcd.com/1930/
846,847,-43.687172,-17.49008,7,https://xkcd.com/847/
1561,1562,53.439934,14.75029,7,https://xkcd.com/1562/
1017,1018,-32.60054,-35.511066,7,https://xkcd.com/1018/
1013,1014,-31.768684,-27.27954,7,https://xkcd.com/1014/
853,854,-14.188682,51.610058,7,https://xkcd.com/854/
247,248,-1.4620236,-45.014725,7,https://xkcd.com/248/
623,624,38.010292,17.435547,7,https://xkcd.com/624/
952,953,36.096226,8.279324,7,https://xkcd.com/953/
243,244,41.769825,1.993284,7,https://xkcd.com/244/
1539,1540,17.16039,12.3978,7,https://xkcd.com/1540/
1433,1434,11.920589,48.840996,7,https://xkcd.com/1434/
154,155,8.747125,55.211514,7,https://xkcd.com/155/
955,956,37.57748,7.525612,7,https://xkcd.com/956/
957,958,-17.493986,-22.272955,7,https://xkcd.com/958/
844,845,27.930454,-17.978977,7,https://xkcd.com/845/
1362,1363,-32.27054,22.772202,7,https://xkcd.com/1363/
1537,1538,6.901094,5.6665773,7,https://xkcd.com/1538/
1934,1935,37.961456,5.3185883,7,https://xkcd.com/1935/
96,97,40.40631,-46.574463,8,https://xkcd.com/97/
533,534,-15.692647,54.495907,8,https://xkcd.com/534/
1079,1080,-42.94862,27.516462,8,https://xkcd.com/1080/
1503,1504,-0.16157894,9.955896,8,https://xkcd.com/1504/
690,691,11.705507,-3.5024295,8,https://xkcd.com/691/
55,56,8.221707,2.0867734,8,https://xkcd.com/56/
1575,1576,35.23139,-38.165367,8,https://xkcd.com/1576/
1016,1017,-34.727318,50.969376,8,https://xkcd.com/1017/
995,996,-10.272642,-24.84163,8,https://xkcd.com/996/
330,331,44.850098,4.457878,8,https://xkcd.com/331/
1549,1550,-9.352254,6.835169,8,https://xkcd.com/1550/
1547,1548,-13.648196,-4.7562065,8,https://xkcd.com/1548/
1983,1984,3.02658,-36.973698,8,https://xkcd.com/1984/
984,985,-25.116028,5.310189,8,https://xkcd.com/985/
1097,1098,-25.368896,59.566666,8,https://xkcd.com/1098/
1467,1468,-50.61757,2.6716533,8,https://xkcd.com/1468/
530,531,23.089897,-11.180544,8,https://xkcd.com/531/
1610,1611,-19.740435,-12.30729,8,https://xkcd.com/1611/
942,943,-11.889569,-30.422693,8,https://xkcd.com/943/
286,287,-35.50218,-7.9337935,8,https://xkcd.com/287/
1194,1195,-55.40555,21.572693,8,https://xkcd.com/1195/
307,308,-27.652838,-28.900812,8,https://xkcd.com/308/
333,334,39.22984,-50.46461,8,https://xkcd.com/334/
1313,1314,20.716364,-31.811888,8,https://xkcd.com/1314/
1317,1318,-25.225039,1.859802,8,https://xkcd.com/1318/
98,99,-23.426615,65.28498,8,https://xkcd.com/99/
855,856,17.62244,11.297123,8,https://xkcd.com/856/
362,363,19.832909,-1.2061173,8,https://xkcd.com/363/
964,965,27.878735,21.407303,8,https://xkcd.com/965/
958,959,10.543672,9.270272,8,https://xkcd.com/959/
1815,1816,54.741154,14.081604,8,https://xkcd.com/1816/
618,619,-6.5287676,15.195452,8,https://xkcd.com/619/
1680,1681,-25.902773,57.97744,8,https://xkcd.com/1681/
514,515,14.889827,-47.700405,8,https://xkcd.com/515/
376,377,21.638056,-45.680122,8,https://xkcd.com/377/
605,606,28.567785,4.966386,8,https://xkcd.com/606/
1100,1101,-21.079235,51.094837,8,https://xkcd.com/1101/
854,855,30.087635,-12.908518,8,https://xkcd.com/855/
1888,1889,-21.086332,44.196247,8,https://xkcd.com/1889/
789,790,20.996952,11.241831,8,https://xkcd.com/790/
1106,1107,-17.836552,63.548016,8,https://xkcd.com/1107/
1690,1691,-32.5794,35.727173,8,https://xkcd.com/1691/
905,906,-16.299961,42.133812,8,https://xkcd.com/906/
970,971,35.114056,-30.80182,8,https://xkcd.com/971/
130,131,27.173887,-36.033,8,https://xkcd.com/131/
1460,1461,-20.205967,60.990913,8,https://xkcd.com/1461/
1450,1451,-26.477701,39.18898,8,https://xkcd.com/1451/
1473,1474,13.968827,17.65812,8,https://xkcd.com/1474/
1446,1447,-3.3764126,50.700813,8,https://xkcd.com/1447/
610,611,29.818596,-43.164154,8,https://xkcd.com/611/
1444,1445,-49.97451,19.416248,8,https://xkcd.com/1445/
797,798,-21.776659,51.638786,8,https://xkcd.com/798/
1334,1335,-18.630836,59.922783,8,https://xkcd.com/1335/
187,188,-8.7871475,-13.598231,8,https://xkcd.com/188/
1409,1410,-31.453806,44.749096,8,https://xkcd.com/1410/
272,273,-23.600416,52.47488,8,https://xkcd.com/273/
1049,1050,34.79812,-46.043774,8,https://xkcd.com/1050/
1900,1901,22.577929,-33.400124,8,https://xkcd.com/1901/
114,115,10.012742,-30.966219,8,https://xkcd.com/115/
1378,1379,-39.75935,35.048653,8,https://xkcd.com/1379/
1783,1784,-40.732433,16.684845,8,https://xkcd.com/1784/
1430,1431,-36.62017,49.612823,8,https://xkcd.com/1431/
393,394,-12.39215,60.29888,8,https://xkcd.com/394/
753,754,-6.2364297,58.46399,8,https://xkcd.com/754/
5,6,17.389126,7.1240535,8,https://xkcd.com/6/
1823,1824,-35.61061,26.375425,8,https://xkcd.com/1824/
71,72,19.60493,-49.854866,8,https://xkcd.com/72/
1323,1324,4.7129426,46.420174,8,https://xkcd.com/1324/
1187,1188,-14.741935,55.937172,8,https://xkcd.com/1188/
556,557,1.865547,-33.808716,8,https://xkcd.com/557/
883,884,3.6661842,-6.2679276,8,https://xkcd.com/884/
1291,1292,-24.136875,51.174644,8,https://xkcd.com/1292/
1149,1150,17.173418,-8.332789,8,https://xkcd.com/1150/
34,35,-38.523197,7.873312,8,https://xkcd.com/35/
251,252,-40.832504,46.331177,8,https://xkcd.com/252/
1036,1037,18.157082,4.6152554,8,https://xkcd.com/1037/
924,925,-4.579111,-11.173149,8,https://xkcd.com/925/
54,55,-15.9053135,56.498123,8,https://xkcd.com/55/
935,936,-23.757935,27.02838,8,https://xkcd.com/936/
312,313,-6.522894,-5.8720098,8,https://xkcd.com/313/
18,19,-33.431713,33.657635,8,https://xkcd.com/19/
320,321,19.437296,12.034993,8,https://xkcd.com/321/
656,657,-8.218308,47.015976,8,https://xkcd.com/657/
1860,1861,-31.29089,32.505905,8,https://xkcd.com/1861/
82,83,4.5708737,-30.116138,8,https://xkcd.com/83/
441,442,14.578226,16.951889,8,https://xkcd.com/442/
1122,1123,49.485916,19.196898,8,https://xkcd.com/1123/
1988,1989,53.8522,13.294807,8,https://xkcd.com/1989/
432,433,21.307463,-45.42326,8,https://xkcd.com/433/
669,670,3.777001,45.87472,8,https://xkcd.com/670/
1522,1523,31.132496,-20.010454,8,https://xkcd.com/1523/
1401,1402,-37.945732,52.037457,8,https://xkcd.com/1402/
1986,1987,-12.225582,55.95468,8,https://xkcd.com/1987/
1342,1343,-22.245897,34.432255,8,https://xkcd.com/1343/
1371,1372,-33.504055,21.079592,8,https://xkcd.com/1372/
702,703,4.281618,-5.359847,8,https://xkcd.com/703/
419,420,37.28765,-49.55773,8,https://xkcd.com/420/
147,148,57.25087,-22.077627,8,https://xkcd.com/148/
406,407,27.6492,12.248851,8,https://xkcd.com/407/
1324,1325,40.53184,-27.535948,8,https://xkcd.com/1325/
231,232,28.452473,-20.677698,8,https://xkcd.com/232/
1989,1990,-11.150067,-17.898783,8,https://xkcd.com/1990/
1356,1357,39.291576,-32.20789,8,https://xkcd.com/1357/
106,107,-15.213237,-9.50708,8,https://xkcd.com/107/
1235,1236,-44.10255,-13.919232,8,https://xkcd.com/1236/
156,157,29.63063,-49.595627,8,https://xkcd.com/157/
367,368,-17.296898,-4.105059,8,https://xkcd.com/368/
474,475,17.588285,22.551918,8,https://xkcd.com/475/
1319,1320,22.330845,-54.61925,8,https://xkcd.com/1320/
1043,1044,3.335901,52.6427,8,https://xkcd.com/1044/
1832,1833,-4.7094297,10.276657,8,https://xkcd.com/1833/
193,194,33.402462,-35.20938,8,https://xkcd.com/194/
726,727,-5.1269345,-16.86029,8,https://xkcd.com/727/
1482,1483,47.09738,-9.0469055,8,https://xkcd.com/1483/
424,425,-10.783527,0.23222104,8,https://xkcd.com/425/
1386,1387,-5.699744,-0.23184639,8,https://xkcd.com/1387/
1852,1853,-38.44209,-9.777023,8,https://xkcd.com/1853/
685,686,-20.718288,23.495924,8,https://xkcd.com/686/
