,comicID,x1,x2,x3,gmmCluster,url
921,922,-12.333257,7.0436363,21.668545,0,"=hyperlink(""https://xkcd.com/922/"")"
840,841,-15.336919,1.4747463,6.8378816,0,"=hyperlink(""https://xkcd.com/841/"")"
1436,1437,-15.320472,-4.9410644,19.566116,0,"=hyperlink(""https://xkcd.com/1437/"")"
1377,1378,-22.523964,4.7742925,9.579973,0,"=hyperlink(""https://xkcd.com/1378/"")"
448,449,-24.825241,-1.4231212,13.260728,0,"=hyperlink(""https://xkcd.com/449/"")"
446,447,-14.727249,-2.941902,14.209158,0,"=hyperlink(""https://xkcd.com/447/"")"
1945,1946,-17.55489,3.651606,18.757883,0,"=hyperlink(""https://xkcd.com/1946/"")"
89,90,-9.042162,1.0825455,9.291942,0,"=hyperlink(""https://xkcd.com/90/"")"
74,75,-22.630526,-2.8741739,5.8663497,0,"=hyperlink(""https://xkcd.com/75/"")"
706,707,-19.99343,3.8826864,14.970255,0,"=hyperlink(""https://xkcd.com/707/"")"
1170,1171,-23.245428,-0.08045469,19.454111,0,"=hyperlink(""https://xkcd.com/1171/"")"
68,69,-16.791431,1.9331778,12.418891,0,"=hyperlink(""https://xkcd.com/69/"")"
879,880,-20.13153,3.0685322,7.60765,0,"=hyperlink(""https://xkcd.com/880/"")"
775,776,-17.255445,-0.6941286,11.417365,0,"=hyperlink(""https://xkcd.com/776/"")"
325,326,-16.679869,5.9109855,5.742793,0,"=hyperlink(""https://xkcd.com/326/"")"
301,302,-26.438234,6.6392555,9.872273,0,"=hyperlink(""https://xkcd.com/302/"")"
329,330,-16.290468,6.130217,7.273412,0,"=hyperlink(""https://xkcd.com/330/"")"
868,869,-26.163202,0.9113009,15.154786,0,"=hyperlink(""https://xkcd.com/869/"")"
870,871,-15.642833,-3.6334438,15.70881,0,"=hyperlink(""https://xkcd.com/871/"")"
328,329,-25.592478,6.767093,13.566014,0,"=hyperlink(""https://xkcd.com/329/"")"
773,774,-11.200298,5.8010616,19.435385,0,"=hyperlink(""https://xkcd.com/774/"")"
